Epoch = 1, Test Loss 0.47, pit 4.55, yaw 10.52, roll 5.13, avg 6.73
Epoch = 30, Test Loss 0.15, pit 2.47, yaw 2.56, roll 2.26, avg 2.43
Epoch = 31, Test Loss 0.18, pit 2.85, yaw 2.33, roll 3.62, avg 2.93
Epoch = 32, Test Loss 0.15, pit 2.48, yaw 2.15, roll 2.44, avg 2.36
Epoch = 33, Test Loss 0.17, pit 3.29, yaw 2.40, roll 3.23, avg 2.97
Epoch = 34, Test Loss 0.15, pit 2.87, yaw 2.37, roll 2.17, avg 2.47
Epoch = 35, Test Loss 0.17, pit 3.10, yaw 2.27, roll 2.11, avg 2.49
Epoch = 36, Test Loss 0.18, pit 2.74, yaw 2.44, roll 3.00, avg 2.73
Epoch = 37, Test Loss 0.14, pit 2.39, yaw 2.03, roll 2.17, avg 2.20
Epoch = 38, Test Loss 0.25, pit 3.87, yaw 3.33, roll 4.33, avg 3.84
Epoch = 39, Test Loss 0.15, pit 2.73, yaw 2.07, roll 2.37, avg 2.39
Epoch = 40, Test Loss 0.21, pit 3.58, yaw 3.10, roll 2.94, avg 3.21
Epoch = 41, Test Loss 0.13, pit 2.22, yaw 1.97, roll 2.35, avg 2.18
Epoch = 42, Test Loss 0.13, pit 2.11, yaw 1.96, roll 2.18, avg 2.08
Epoch = 43, Test Loss 0.13, pit 2.12, yaw 1.95, roll 2.19, avg 2.09
Epoch = 44, Test Loss 0.12, pit 2.11, yaw 1.92, roll 2.13, avg 2.05
Epoch = 45, Test Loss 0.13, pit 2.14, yaw 1.83, roll 2.23, avg 2.07
Epoch = 46, Test Loss 0.12, pit 2.15, yaw 1.82, roll 2.09, avg 2.02
Epoch = 47, Test Loss 0.13, pit 2.15, yaw 1.98, roll 2.15, avg 2.09
Epoch = 48, Test Loss 0.12, pit 2.11, yaw 1.81, roll 2.12, avg 2.01
Epoch = 49, Test Loss 0.12, pit 2.19, yaw 1.88, roll 2.09, avg 2.05
Epoch = 50, Test Loss 0.12, pit 2.20, yaw 1.86, roll 2.10, avg 2.06
Epoch = 51, Test Loss 0.13, pit 2.36, yaw 1.84, roll 2.14, avg 2.11
Epoch = 52, Test Loss 0.13, pit 2.27, yaw 1.88, roll 2.05, avg 2.07
Epoch = 53, Test Loss 0.12, pit 2.13, yaw 1.81, roll 2.11, avg 2.02
Epoch = 54, Test Loss 0.13, pit 2.25, yaw 1.71, roll 2.24, avg 2.07
Epoch = 55, Test Loss 0.12, pit 2.06, yaw 1.73, roll 2.30, avg 2.03
Epoch = 56, Test Loss 0.13, pit 2.43, yaw 1.88, roll 2.03, avg 2.11
Epoch = 57, Test Loss 0.12, pit 2.07, yaw 1.78, roll 2.21, avg 2.02
Epoch = 58, Test Loss 0.13, pit 2.15, yaw 1.75, roll 2.42, avg 2.11
Epoch = 59, Test Loss 0.13, pit 2.21, yaw 1.82, roll 2.12, avg 2.05
Epoch = 60, Test Loss 0.13, pit 2.36, yaw 1.88, roll 2.20, avg 2.15
Epoch = 61, Test Loss 0.13, pit 2.33, yaw 1.92, roll 2.07, avg 2.11
Epoch = 62, Test Loss 0.12, pit 2.15, yaw 1.84, roll 2.09, avg 2.02
Epoch = 63, Test Loss 0.13, pit 2.12, yaw 2.04, roll 2.11, avg 2.09
Epoch = 64, Test Loss 0.12, pit 2.11, yaw 1.74, roll 2.07, avg 1.97
Epoch = 65, Test Loss 0.13, pit 2.19, yaw 1.80, roll 2.23, avg 2.08
Epoch = 66, Test Loss 0.12, pit 2.07, yaw 1.69, roll 2.17, avg 1.98
Epoch = 67, Test Loss 0.13, pit 2.33, yaw 1.86, roll 2.16, avg 2.12
Epoch = 68, Test Loss 0.12, pit 2.10, yaw 1.81, roll 2.01, avg 1.97
Epoch = 69, Test Loss 0.12, pit 2.08, yaw 1.83, roll 2.20, avg 2.04
Epoch = 70, Test Loss 0.12, pit 2.14, yaw 1.77, roll 2.12, avg 2.01
Epoch = 71, Test Loss 0.12, pit 2.11, yaw 1.81, roll 2.03, avg 1.98
Epoch = 72, Test Loss 0.12, pit 2.16, yaw 1.76, roll 2.11, avg 2.01
Epoch = 73, Test Loss 0.12, pit 2.07, yaw 1.71, roll 2.07, avg 1.95
Epoch = 74, Test Loss 0.12, pit 2.09, yaw 1.76, roll 2.12, avg 1.99
Epoch = 75, Test Loss 0.13, pit 2.05, yaw 2.14, roll 2.11, avg 2.10
Epoch = 76, Test Loss 0.13, pit 2.12, yaw 1.84, roll 2.46, avg 2.14
Epoch = 77, Test Loss 0.12, pit 2.20, yaw 1.73, roll 2.08, avg 2.00
Epoch = 78, Test Loss 0.12, pit 2.09, yaw 1.75, roll 2.11, avg 1.98
Epoch = 79, Test Loss 0.13, pit 2.04, yaw 1.86, roll 2.35, avg 2.08
Epoch = 80, Test Loss 0.12, pit 2.16, yaw 1.75, roll 2.12, avg 2.01
Epoch = 81, Test Loss 0.12, pit 2.11, yaw 1.78, roll 2.08, avg 1.99
Epoch = 82, Test Loss 0.12, pit 2.09, yaw 1.77, roll 2.06, avg 1.97
Epoch = 83, Test Loss 0.12, pit 2.10, yaw 1.81, roll 2.06, avg 1.99
Epoch = 84, Test Loss 0.12, pit 2.11, yaw 1.78, roll 2.07, avg 1.99
Epoch = 85, Test Loss 0.12, pit 2.09, yaw 1.77, roll 2.06, avg 1.97
Epoch = 86, Test Loss 0.12, pit 2.10, yaw 1.77, roll 2.05, avg 1.97
Epoch = 87, Test Loss 0.12, pit 2.10, yaw 1.78, roll 2.09, avg 1.99
Epoch = 88, Test Loss 0.12, pit 2.11, yaw 1.78, roll 2.07, avg 1.99
Epoch = 89, Test Loss 0.12, pit 2.10, yaw 1.80, roll 2.09, avg 2.00
Epoch = 90, Test Loss 0.12, pit 2.09, yaw 1.77, roll 2.06, avg 1.97
Epoch = 91, Test Loss 0.12, pit 2.11, yaw 1.79, roll 2.08, avg 1.99
Epoch = 92, Test Loss 0.12, pit 2.11, yaw 1.75, roll 2.05, avg 1.97
Epoch = 93, Test Loss 0.12, pit 2.12, yaw 1.81, roll 2.08, avg 2.00
Epoch = 94, Test Loss 0.12, pit 2.10, yaw 1.80, roll 2.12, avg 2.00
Epoch = 95, Test Loss 0.12, pit 2.08, yaw 1.78, roll 2.06, avg 1.97
Epoch = 96, Test Loss 0.12, pit 2.11, yaw 1.78, roll 2.07, avg 1.99
Epoch = 97, Test Loss 0.12, pit 2.13, yaw 1.79, roll 2.09, avg 2.00
Epoch = 98, Test Loss 0.12, pit 2.09, yaw 1.74, roll 2.11, avg 1.98
Epoch = 99, Test Loss 0.12, pit 2.09, yaw 1.78, roll 2.07, avg 1.98
Epoch = 100, Test Loss 0.12, pit 2.08, yaw 1.78, roll 2.06, avg 1.97
Epoch = 101, Test Loss 0.12, pit 2.11, yaw 1.79, roll 2.07, avg 1.99
Epoch = 102, Test Loss 0.12, pit 2.10, yaw 1.75, roll 2.04, avg 1.96
Epoch = 103, Test Loss 0.12, pit 2.11, yaw 1.78, roll 2.10, avg 2.00
Epoch = 104, Test Loss 0.12, pit 2.10, yaw 1.81, roll 2.08, avg 2.00
Epoch = 105, Test Loss 0.12, pit 2.08, yaw 1.79, roll 2.08, avg 1.98
Epoch = 106, Test Loss 0.12, pit 2.09, yaw 1.79, roll 2.08, avg 1.98
Epoch = 107, Test Loss 0.12, pit 2.08, yaw 1.79, roll 2.08, avg 1.99
Epoch = 108, Test Loss 0.12, pit 2.11, yaw 1.79, roll 2.10, avg 2.00
Epoch = 109, Test Loss 0.12, pit 2.10, yaw 1.80, roll 2.10, avg 2.00
Epoch = 110, Test Loss 0.12, pit 2.10, yaw 1.82, roll 2.07, avg 2.00
Epoch = 111, Test Loss 0.12, pit 2.11, yaw 1.80, roll 2.08, avg 2.00
Epoch = 112, Test Loss 0.12, pit 2.10, yaw 1.79, roll 2.08, avg 1.99
Epoch = 113, Test Loss 0.12, pit 2.08, yaw 1.79, roll 2.07, avg 1.98
Epoch = 114, Test Loss 0.12, pit 2.10, yaw 1.77, roll 2.07, avg 1.98
Epoch = 115, Test Loss 0.12, pit 2.16, yaw 1.76, roll 2.09, avg 2.00
Epoch = 116, Test Loss 0.12, pit 2.09, yaw 1.78, roll 2.07, avg 1.98
Epoch = 117, Test Loss 0.12, pit 2.12, yaw 1.78, roll 2.07, avg 1.99
Epoch = 118, Test Loss 0.12, pit 2.08, yaw 1.78, roll 2.07, avg 1.98
Epoch = 119, Test Loss 0.12, pit 2.10, yaw 1.80, roll 2.10, avg 2.00
Epoch = 120, Test Loss 0.12, pit 2.09, yaw 1.77, roll 2.08, avg 1.98
